EmployeeNumber,Department,JobRole,JobLevel,Age,Gender,Attrition,JML_Status,AccessLevel,RiskScore,RiskLevel,YearsAtCompany,YearsInCurrentRole,BusinessTravel,OverTime,PerformanceRating,EmployeeID
30,Research & Development,Research Scientist,1,21,Male,No,Mover,Write,50,High,0,0,Travel_Rarely,No,3,EMP0030
31,Research & Development,Research Scientist,1,34,Male,Yes,Leaver,Write,60,High,4,2,Travel_Rarely,No,3,EMP0031
32,Research & Development,Manager,5,53,Female,No,Stable,Write,35,Medium,14,13,Travel_Rarely,No,3,EMP0032
33,Research & Development,Research Scientist,1,32,Female,Yes,Leaver,Write,85,Critical,10,2,Travel_Frequently,Yes,4,EMP0033
35,Sales,Sales Executive,2,42,Male,No,Stable,Write,30,Medium,9,7,Travel_Rarely,No,3,EMP0035
36,Research & Development,Healthcare Representative,3,44,Female,No,Stable,Read,25,Low,22,6,Travel_Rarely,No,3,EMP0036
38,Sales,Manager,5,46,Female,No,Stable,Write,30,Medium,2,2,Travel_Rarely,No,3,EMP0038
39,Research & Development,Laboratory Technician,1,33,Male,No,Mover,Read,40,Medium,1,1,Travel_Rarely,No,3,EMP0039
40,Research & Development,Healthcare Representative,2,44,Male,No,Stable,Read,20,Low,4,2,Travel_Rarely,Yes,3,EMP0040
41,Research & Development,Laboratory Technician,1,30,Male,No,Mover,Read,40,Medium,10,0,Travel_Rarely,No,3,EMP0041
42,Sales,Sales Representative,2,39,Male,Yes,Leaver,Read,60,High,1,0,Travel_Rarely,No,3,EMP0042
45,Research & Development,Research Scientist,1,24,Male,Yes,Leaver,Write,80,Critical,2,0,Travel_Rarely,Yes,3,EMP0045
46,Research & Development,Research Scientist,1,43,Female,No,Stable,Write,20,Low,5,3,Travel_Rarely,No,3,EMP0046
47,Sales,Sales Representative,1,50,Male,Yes,Leaver,Read,60,High,3,2,Travel_Rarely,Yes,3,EMP0047
49,Sales,Sales Representative,1,35,Female,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0049
51,Research & Development,Research Scientist,1,36,Female,No,Mover,Write,60,High,1,1,Travel_Rarely,Yes,3,EMP0051
52,Sales,Sales Executive,2,33,Female,No,Stable,Write,25,Low,5,3,Travel_Frequently,No,3,EMP0052
53,Research & Development,Laboratory Technician,1,35,Male,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0053
54,Research & Development,Laboratory Technician,1,27,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0054
55,Research & Development,Laboratory Technician,1,26,Male,Yes,Leaver,Read,60,High,1,0,Travel_Rarely,No,3,EMP0055
56,Sales,Sales Executive,3,27,Male,No,Stable,Write,35,Medium,9,8,Travel_Frequently,No,3,EMP0056
57,Research & Development,Laboratory Technician,2,30,Female,No,Stable,Read,30,Medium,12,8,Travel_Frequently,No,4,EMP0057
58,Research & Development,Research Director,5,41,Female,Yes,Leaver,Admin,90,Critical,22,15,Travel_Rarely,No,3,EMP0058
60,Sales,Sales Executive,2,34,Male,No,Stable,Write,25,Low,9,5,Non-Travel,No,4,EMP0060
61,Research & Development,Research Scientist,1,37,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,4,EMP0061
62,Sales,Sales Executive,2,46,Male,No,Stable,Write,45,Medium,9,6,Travel_Frequently,Yes,4,EMP0062
63,Research & Development,Laboratory Technician,1,35,Male,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0063
64,Research & Development,Laboratory Technician,3,48,Male,Yes,Leaver,Read,70,Critical,1,0,Travel_Rarely,Yes,3,EMP0064
65,Research & Development,Laboratory Technician,1,28,Male,Yes,Leaver,Read,60,High,2,2,Travel_Rarely,Yes,3,EMP0065
68,Sales,Sales Executive,2,44,Female,No,Stable,Write,30,Medium,4,3,Travel_Rarely,Yes,4,EMP0068
70,Research & Development,Healthcare Representative,3,35,Male,No,Mover,Read,35,Medium,4,0,Non-Travel,Yes,3,EMP0070
72,Sales,Sales Executive,2,26,Female,No,Stable,Write,40,Medium,2,2,Travel_Rarely,Yes,3,EMP0072
73,Research & Development,Research Director,3,33,Female,No,Stable,Admin,65,High,15,14,Travel_Frequently,Yes,3,EMP0073
74,Sales,Sales Executive,3,35,Male,No,Stable,Write,35,Medium,9,8,Travel_Frequently,No,4,EMP0074
75,Research & Development,Laboratory Technician,1,35,Female,No,Stable,Read,20,Low,2,2,Travel_Rarely,Yes,3,EMP0075
76,Research & Development,Laboratory Technician,2,31,Male,No,Stable,Read,20,Low,7,7,Travel_Rarely,No,4,EMP0076
77,Research & Development,Manufacturing Director,2,37,Male,No,Stable,Write,30,Medium,7,5,Travel_Rarely,No,3,EMP0077
78,Research & Development,Manufacturing Director,2,32,Male,No,Stable,Write,40,Medium,9,8,Travel_Rarely,Yes,4,EMP0078
79,Research & Development,Laboratory Technician,2,38,Female,No,Stable,Read,25,Low,10,3,Travel_Frequently,No,3,EMP0079
80,Research & Development,Research Director,5,50,Female,No,Stable,Admin,60,High,27,3,Travel_Rarely,Yes,3,EMP0080
81,Sales,Sales Executive,3,59,Female,No,Stable,Write,35,Medium,21,16,Travel_Rarely,No,3,EMP0081
83,Research & Development,Healthcare Representative,3,36,Female,No,Stable,Read,25,Low,17,14,Travel_Rarely,No,3,EMP0083
84,Research & Development,Manager,4,55,Female,No,Mover,Write,50,High,5,0,Travel_Rarely,Yes,3,EMP0084
85,Research & Development,Manufacturing Director,2,36,Male,No,Stable,Write,35,Medium,6,5,Travel_Frequently,No,3,EMP0085
86,Research & Development,Research Scientist,3,45,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0086
88,Research & Development,Research Scientist,1,35,Male,No,Stable,Write,25,Low,3,2,Travel_Frequently,No,3,EMP0088
90,Research & Development,Research Scientist,1,36,Male,Yes,Leaver,Write,80,Critical,1,0,Travel_Rarely,Yes,3,EMP0090
91,Sales,Sales Executive,2,59,Female,No,Stable,Write,25,Low,4,3,Travel_Frequently,No,3,EMP0091
94,Research & Development,Research Scientist,1,29,Male,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,4,EMP0094
95,Research & Development,Research Scientist,1,31,Male,No,Mover,Write,50,High,1,1,Travel_Rarely,No,3,EMP0095
96,Research & Development,Research Scientist,2,32,Male,No,Stable,Write,30,Medium,10,4,Travel_Rarely,No,3,EMP0096
97,Research & Development,Laboratory Technician,1,36,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0097
98,Research & Development,Manufacturing Director,2,31,Female,No,Stable,Write,35,Medium,11,7,Travel_Rarely,No,4,EMP0098
100,Sales,Sales Executive,2,35,Male,No,Stable,Write,35,Medium,15,13,Travel_Rarely,No,3,EMP0100
101,Research & Development,Research Director,3,45,Male,No,Mover,Admin,75,Critical,0,0,Travel_Rarely,Yes,3,EMP0101
102,Research & Development,Research Director,3,37,Male,No,Stable,Admin,35,Medium,5,2,Travel_Rarely,No,3,EMP0102
103,Human Resources,Human Resources,2,46,Male,No,Stable,Read,20,Low,4,2,Travel_Rarely,Yes,4,EMP0103
104,Research & Development,Laboratory Technician,2,30,Male,No,Stable,Read,40,Medium,10,8,Travel_Rarely,Yes,3,EMP0104
105,Research & Development,Research Scientist,1,35,Male,No,Stable,Write,30,Medium,6,4,Travel_Rarely,No,3,EMP0105
106,Sales,Sales Executive,3,55,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0106
107,Research & Development,Research Scientist,2,38,Female,No,Stable,Write,40,Medium,13,11,Non-Travel,Yes,3,EMP0107
110,Research & Development,Manufacturing Director,2,34,Male,No,Stable,Write,20,Low,5,2,Travel_Rarely,No,3,EMP0110
112,Research & Development,Manufacturing Director,3,56,Male,No,Stable,Write,30,Medium,6,4,Travel_Rarely,No,3,EMP0112
113,Sales,Sales Representative,1,23,Male,No,Mover,Read,40,Medium,0,0,Travel_Rarely,No,3,EMP0113
116,Research & Development,Laboratory Technician,1,51,Male,No,Stable,Read,10,Low,4,2,Travel_Rarely,No,4,EMP0116
117,Research & Development,Healthcare Representative,2,30,Male,No,Stable,Read,25,Low,11,10,Travel_Rarely,No,3,EMP0117
118,Sales,Sales Executive,3,46,Male,Yes,Leaver,Write,70,Critical,9,8,Travel_Rarely,No,3,EMP0118
119,Research & Development,Healthcare Representative,4,40,Male,No,Stable,Read,30,Medium,22,3,Travel_Frequently,No,4,EMP0119
120,Sales,Sales Executive,2,51,Male,No,Stable,Write,50,High,10,7,Travel_Rarely,Yes,4,EMP0120
121,Sales,Sales Executive,2,30,Female,No,Stable,Write,45,Medium,11,8,Travel_Rarely,Yes,3,EMP0121
124,Research & Development,Healthcare Representative,3,46,Male,No,Stable,Read,35,Medium,10,9,Travel_Frequently,Yes,3,EMP0124
125,Sales,Sales Executive,2,32,Male,No,Stable,Write,35,Medium,11,8,Travel_Rarely,No,3,EMP0125
126,Research & Development,Research Director,3,54,Female,No,Stable,Admin,35,Medium,4,3,Travel_Rarely,No,3,EMP0126
128,Sales,Sales Executive,2,24,Female,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,4,EMP0128
129,Sales,Sales Executive,2,28,Male,No,Stable,Write,15,Low,5,4,Non-Travel,No,3,EMP0129
131,Sales,Sales Executive,4,58,Male,No,Stable,Write,35,Medium,37,10,Travel_Rarely,No,3,EMP0131
132,Research & Development,Laboratory Technician,2,44,Male,No,Stable,Read,5,Low,3,2,Non-Travel,No,3,EMP0132
133,Human Resources,Human Resources,1,37,Male,Yes,Leaver,Read,60,High,3,2,Travel_Rarely,Yes,4,EMP0133
134,Research & Development,Research Scientist,1,32,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0134
137,Research & Development,Laboratory Technician,1,20,Female,Yes,Leaver,Read,75,Critical,1,0,Travel_Frequently,Yes,3,EMP0137
138,Research & Development,Research Scientist,2,34,Female,No,Stable,Write,35,Medium,16,13,Travel_Rarely,No,3,EMP0138
139,Research & Development,Healthcare Representative,2,37,Male,No,Mover,Read,35,Medium,1,0,Non-Travel,No,3,EMP0139
140,Human Resources,Manager,5,59,Female,No,Stable,Write,15,Low,3,2,Non-Travel,No,4,EMP0140
141,Research & Development,Research Director,5,50,Female,No,Stable,Admin,60,High,8,3,Travel_Frequently,Yes,3,EMP0141
142,Sales,Sales Executive,2,25,Male,Yes,Leaver,Write,80,Critical,6,4,Travel_Rarely,Yes,3,EMP0142
143,Research & Development,Research Scientist,1,25,Male,No,Stable,Write,30,Medium,2,2,Travel_Rarely,No,3,EMP0143
144,Research & Development,Laboratory Technician,1,22,Female,No,Mover,Read,40,Medium,0,0,Travel_Rarely,No,3,EMP0144
145,Research & Development,Healthcare Representative,3,51,Female,No,Stable,Read,30,Medium,13,12,Travel_Frequently,No,4,EMP0145
147,Research & Development,Laboratory Technician,2,34,Male,Yes,Leaver,Read,75,Critical,9,7,Travel_Frequently,Yes,4,EMP0147
148,Human Resources,Manager,4,54,Female,No,Stable,Write,25,Low,5,3,Non-Travel,Yes,3,EMP0148
150,Research & Development,Laboratory Technician,1,24,Male,No,Stable,Read,10,Low,5,3,Travel_Rarely,No,3,EMP0150
151,Research & Development,Research Scientist,2,34,Female,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0151
152,Sales,Sales Executive,3,37,Male,No,Stable,Write,20,Low,5,3,Travel_Rarely,No,3,EMP0152
153,Research & Development,Manager,3,34,Female,No,Stable,Write,35,Medium,11,10,Travel_Rarely,No,3,EMP0153
154,Sales,Sales Executive,3,36,Female,No,Stable,Write,35,Medium,9,7,Travel_Frequently,No,3,EMP0154
155,Research & Development,Laboratory Technician,1,36,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,4,EMP0155
158,Sales,Manager,4,43,Male,No,Stable,Write,50,High,25,12,Travel_Frequently,Yes,3,EMP0158
159,Research & Development,Research Scientist,1,30,Male,No,Stable,Write,35,Medium,10,7,Travel_Frequently,No,4,EMP0159
160,Sales,Sales Executive,2,33,Male,No,Stable,Write,25,Low,7,7,Non-Travel,No,3,EMP0160
161,Research & Development,Research Scientist,1,56,Female,Yes,Leaver,Write,70,Critical,5,4,Travel_Rarely,Yes,3,EMP0161
162,Research & Development,Research Director,5,51,Male,No,Stable,Admin,50,High,20,18,Travel_Rarely,No,3,EMP0162
163,Sales,Sales Executive,2,31,Male,Yes,Leaver,Write,80,Critical,7,7,Travel_Rarely,Yes,3,EMP0163
164,Research & Development,Research Scientist,1,26,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,3,EMP0164
165,Research & Development,Healthcare Representative,3,58,Female,Yes,Leaver,Read,65,High,40,10,Travel_Rarely,No,3,EMP0165
167,Sales,Sales Representative,1,19,Male,Yes,Leaver,Read,70,Critical,0,0,Travel_Rarely,Yes,3,EMP0167
169,Research & Development,Laboratory Technician,1,22,Male,No,Mover,Read,40,Medium,2,1,Travel_Rarely,No,3,EMP0169
170,Research & Development,Manufacturing Director,2,49,Female,No,Stable,Write,35,Medium,15,11,Travel_Rarely,No,3,EMP0170
171,Research & Development,Research Scientist,1,43,Female,No,Stable,Write,25,Low,3,2,Travel_Frequently,No,3,EMP0171
174,Sales,Sales Executive,3,50,Female,No,Stable,Write,35,Medium,2,2,Travel_Frequently,No,3,EMP0174
175,Sales,Sales Executive,2,31,Female,Yes,Leaver,Write,70,Critical,2,2,Travel_Rarely,Yes,3,EMP0175
176,Sales,Sales Executive,3,41,Male,No,Stable,Write,40,Medium,9,7,Travel_Rarely,Yes,3,EMP0176
177,Human Resources,Human Resources,1,26,Female,No,Stable,Read,20,Low,8,7,Travel_Rarely,No,4,EMP0177
178,Research & Development,Manufacturing Director,2,36,Male,No,Stable,Write,30,Medium,3,2,Travel_Rarely,No,4,EMP0178
179,Research & Development,Manufacturing Director,3,51,Male,Yes,Leaver,Write,65,High,4,2,Travel_Frequently,No,3,EMP0179
182,Sales,Sales Executive,2,39,Female,No,Stable,Write,35,Medium,15,11,Travel_Rarely,No,3,EMP0182
183,Sales,Sales Executive,2,25,Male,No,Stable,Write,20,Low,2,2,Travel_Rarely,No,3,EMP0183
184,Human Resources,Human Resources,2,30,Male,No,Stable,Read,35,Medium,11,9,Travel_Rarely,Yes,3,EMP0184
190,Research & Development,Laboratory Technician,1,32,Female,Yes,Leaver,Read,50,High,5,4,Travel_Rarely,No,4,EMP0190
192,Research & Development,Research Scientist,1,45,Male,No,Stable,Write,30,Medium,6,5,Travel_Rarely,No,3,EMP0192
193,Research & Development,Research Scientist,2,38,Female,No,Stable,Write,30,Medium,3,2,Travel_Rarely,Yes,4,EMP0193
194,Research & Development,Research Scientist,1,30,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,3,EMP0194
195,Sales,Sales Executive,2,32,Male,No,Stable,Write,35,Medium,8,7,Travel_Frequently,No,3,EMP0195
197,Research & Development,Research Scientist,1,30,Female,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,3,EMP0197
198,Research & Development,Laboratory Technician,1,30,Male,No,Stable,Read,10,Low,5,3,Travel_Rarely,No,3,EMP0198
199,Research & Development,Manager,4,41,Male,No,Stable,Write,35,Medium,7,6,Travel_Frequently,No,3,EMP0199
200,Research & Development,Laboratory Technician,1,41,Male,No,Mover,Read,30,Medium,5,0,Travel_Rarely,No,4,EMP0200
201,Research & Development,Laboratory Technician,1,19,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0201
202,Research & Development,Research Scientist,2,40,Female,No,Stable,Write,40,Medium,20,7,Travel_Frequently,No,3,EMP0202
204,Sales,Sales Executive,3,35,Male,No,Stable,Write,30,Medium,10,8,Travel_Rarely,No,3,EMP0204
205,Sales,Sales Representative,2,53,Male,No,Stable,Read,30,Medium,7,7,Travel_Rarely,Yes,4,EMP0205
206,Research & Development,Laboratory Technician,2,45,Male,No,Stable,Read,25,Low,17,9,Travel_Rarely,No,3,EMP0206
207,Sales,Sales Executive,3,32,Female,No,Stable,Write,35,Medium,9,8,Travel_Frequently,No,3,EMP0207
208,Research & Development,Manufacturing Director,2,29,Male,No,Stable,Write,25,Low,10,7,Non-Travel,No,3,EMP0208
211,Research & Development,Manufacturing Director,2,51,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0211
214,Research & Development,Research Scientist,1,58,Female,No,Mover,Write,60,High,1,0,Travel_Rarely,Yes,4,EMP0214
215,Sales,Sales Executive,3,40,Male,No,Stable,Write,35,Medium,12,11,Travel_Rarely,No,3,EMP0215
216,Sales,Sales Representative,1,34,Female,No,Stable,Read,15,Low,4,3,Travel_Frequently,No,3,EMP0216
217,Research & Development,Research Scientist,1,22,Male,No,Stable,Write,20,Low,2,2,Travel_Rarely,No,4,EMP0217
218,Research & Development,Research Scientist,1,27,Male,No,Stable,Write,15,Low,2,2,Non-Travel,No,3,EMP0218
221,Research & Development,Research Scientist,1,28,Male,No,Stable,Write,20,Low,5,2,Travel_Rarely,No,3,EMP0221
223,Research & Development,Healthcare Representative,3,57,Male,No,Stable,Read,20,Low,5,3,Travel_Rarely,Yes,3,EMP0223
224,Research & Development,Research Scientist,1,27,Male,No,Mover,Write,55,High,1,1,Non-Travel,Yes,3,EMP0224
226,Research & Development,Manager,5,50,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,3,EMP0226
227,Research & Development,Research Scientist,1,41,Male,No,Stable,Write,30,Medium,9,8,Travel_Rarely,No,3,EMP0227
228,Sales,Sales Executive,3,30,Female,No,Stable,Write,30,Medium,10,9,Travel_Rarely,No,3,EMP0228
230,Sales,Sales Executive,2,38,Female,No,Stable,Write,30,Medium,8,3,Travel_Rarely,No,4,EMP0230
231,Research & Development,Research Scientist,1,32,Male,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,4,EMP0231
233,Research & Development,Research Scientist,1,27,Male,No,Stable,Write,40,Medium,5,2,Travel_Rarely,Yes,3,EMP0233
235,Sales,Sales Representative,1,19,Female,Yes,Leaver,Read,65,High,0,0,Travel_Frequently,No,4,EMP0235
238,Research & Development,Laboratory Technician,1,36,Male,No,Stable,Read,25,Low,8,7,Travel_Frequently,No,3,EMP0238
239,Research & Development,Laboratory Technician,2,30,Male,No,Stable,Read,20,Low,12,9,Non-Travel,No,3,EMP0239
240,Sales,Sales Executive,2,45,Female,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0240
241,Research & Development,Research Scientist,1,56,Female,No,Stable,Write,30,Medium,2,2,Travel_Rarely,Yes,3,EMP0241
242,Research & Development,Research Scientist,1,33,Male,No,Mover,Write,40,Medium,3,1,Travel_Rarely,No,3,EMP0242
243,Research & Development,Laboratory Technician,1,19,Male,Yes,Leaver,Read,60,High,1,0,Travel_Rarely,No,4,EMP0243
244,Sales,Sales Executive,3,46,Female,No,Stable,Write,35,Medium,24,13,Travel_Rarely,No,4,EMP0244
245,Research & Development,Laboratory Technician,1,38,Female,No,Stable,Read,20,Low,2,2,Travel_Rarely,No,3,EMP0245
246,Research & Development,Research Scientist,1,31,Female,No,Stable,Write,30,Medium,4,2,Travel_Rarely,Yes,4,EMP0246
247,Research & Development,Research Scientist,1,34,Female,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,3,EMP0247
248,Sales,Sales Representative,1,41,Female,Yes,Leaver,Read,60,High,4,3,Travel_Rarely,Yes,4,EMP0248
249,Research & Development,Laboratory Technician,1,50,Male,No,Stable,Read,10,Low,3,2,Travel_Rarely,No,3,EMP0249
250,Research & Development,Manufacturing Director,2,53,Female,No,Stable,Write,20,Low,4,2,Travel_Rarely,No,3,EMP0250
252,Research & Development,Research Scientist,1,33,Female,No,Stable,Write,30,Medium,8,7,Travel_Rarely,No,3,EMP0252
253,Research & Development,Manager,5,40,Female,No,Stable,Write,35,Medium,20,8,Travel_Rarely,No,3,EMP0253
254,Research & Development,Research Director,5,55,Male,No,Stable,Admin,50,High,24,15,Travel_Rarely,No,3,EMP0254
256,Research & Development,Manufacturing Director,2,34,Male,No,Stable,Write,35,Medium,10,9,Travel_Frequently,No,3,EMP0256
258,Research & Development,Healthcare Representative,4,51,Female,No,Stable,Read,30,Medium,7,7,Travel_Rarely,No,3,EMP0258
259,Research & Development,Manager,5,52,Male,No,Stable,Write,35,Medium,33,18,Travel_Rarely,No,3,EMP0259
260,Research & Development,Research Scientist,1,27,Female,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0260
261,Research & Development,Manufacturing Director,2,35,Male,Yes,Leaver,Write,80,Critical,1,0,Travel_Rarely,Yes,3,EMP0261
262,Research & Development,Research Scientist,1,43,Male,No,Stable,Write,15,Low,5,4,Non-Travel,No,3,EMP0262
264,Research & Development,Manager,4,45,Male,No,Stable,Write,30,Medium,20,8,Non-Travel,No,4,EMP0264
267,Research & Development,Research Scientist,1,37,Male,No,Stable,Write,40,Medium,8,7,Travel_Rarely,Yes,3,EMP0267
269,Research & Development,Laboratory Technician,2,35,Female,No,Stable,Read,25,Low,6,2,Travel_Frequently,No,3,EMP0269
270,Research & Development,Manufacturing Director,2,42,Female,No,Stable,Write,15,Low,5,3,Non-Travel,No,3,EMP0270
271,Research & Development,Manufacturing Director,2,38,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0271
273,Research & Development,Manufacturing Director,2,38,Male,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0273
274,Research & Development,Manufacturing Director,2,27,Male,No,Stable,Write,35,Medium,2,2,Travel_Frequently,No,3,EMP0274
275,Research & Development,Manufacturing Director,2,49,Male,No,Stable,Write,35,Medium,7,7,Non-Travel,Yes,3,EMP0275
277,Research & Development,Research Scientist,1,34,Male,No,Stable,Write,45,Medium,5,3,Travel_Frequently,Yes,3,EMP0277
281,Research & Development,Laboratory Technician,2,40,Male,No,Stable,Read,30,Medium,7,2,Travel_Rarely,Yes,3,EMP0281
282,Research & Development,Healthcare Representative,2,38,Male,Yes,Leaver,Read,70,Critical,1,0,Travel_Rarely,Yes,3,EMP0282
283,Sales,Sales Executive,3,29,Female,Yes,Leaver,Write,70,Critical,10,4,Travel_Rarely,No,4,EMP0283
284,Research & Development,Research Scientist,1,22,Male,No,Stable,Write,30,Medium,4,2,Travel_Rarely,Yes,3,EMP0284
286,Research & Development,Laboratory Technician,1,36,Female,No,Mover,Read,45,Medium,8,1,Travel_Frequently,No,3,EMP0286
287,Research & Development,Healthcare Representative,2,40,Male,No,Stable,Read,5,Low,3,2,Non-Travel,No,3,EMP0287
288,Research & Development,Healthcare Representative,3,46,Male,No,Stable,Read,10,Low,4,2,Travel_Rarely,No,3,EMP0288
291,Sales,Sales Executive,3,32,Male,Yes,Leaver,Write,75,Critical,14,8,Travel_Rarely,No,3,EMP0291
292,Research & Development,Manufacturing Director,3,30,Male,No,Stable,Write,30,Medium,11,8,Non-Travel,No,4,EMP0292
293,Sales,Sales Executive,2,27,Female,No,Stable,Write,35,Medium,7,7,Travel_Frequently,No,3,EMP0293
296,Research & Development,Research Director,3,51,Male,No,Stable,Admin,45,Medium,10,9,Travel_Rarely,No,3,EMP0296
297,Research & Development,Research Scientist,1,30,Female,Yes,Leaver,Write,70,Critical,5,2,Travel_Rarely,Yes,3,EMP0297
298,Sales,Manager,3,41,Female,No,Mover,Write,60,High,1,0,Travel_Rarely,Yes,3,EMP0298
299,Sales,Sales Executive,2,30,Female,Yes,Leaver,Write,85,Critical,6,3,Travel_Frequently,No,3,EMP0299
300,Research & Development,Research Scientist,1,29,Male,Yes,Leaver,Write,70,Critical,6,2,Travel_Rarely,No,3,EMP0300
302,Sales,Sales Executive,3,45,Female,No,Stable,Write,30,Medium,19,7,Non-Travel,No,3,EMP0302
303,Sales,Sales Executive,2,54,Female,No,Stable,Write,30,Medium,6,2,Travel_Rarely,No,3,EMP0303
304,Research & Development,Laboratory Technician,2,36,Male,No,Stable,Read,25,Low,13,11,Travel_Rarely,No,3,EMP0304
305,Research & Development,Research Scientist,1,33,Female,No,Stable,Write,30,Medium,3,2,Travel_Rarely,No,4,EMP0305
306,Research & Development,Research Director,3,37,Male,No,Stable,Admin,60,High,10,8,Travel_Frequently,Yes,3,EMP0306
307,Sales,Sales Executive,3,38,Male,No,Stable,Write,35,Medium,16,10,Travel_Rarely,No,3,EMP0307
308,Research & Development,Manufacturing Director,2,31,Male,No,Stable,Write,15,Low,5,4,Non-Travel,No,3,EMP0308
309,Research & Development,Research Scientist,1,59,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0309
311,Sales,Sales Representative,1,37,Male,No,Stable,Read,25,Low,9,8,Travel_Frequently,No,3,EMP0311
312,Sales,Sales Executive,3,29,Female,No,Stable,Write,50,High,11,10,Travel_Frequently,No,3,EMP0312
314,Sales,Sales Executive,3,35,Female,No,Stable,Write,35,Medium,10,7,Travel_Frequently,No,3,EMP0314
